qid,img,width,height,orientation,n_main,fb_external_1,fb_external_2,fb_external_3,fb_external_4,fb_external_5,fb_comment_1,fb_comment_2,fb_post,comment,edge,external,fb_home
1,1645329081000-2022-02-20-11-51-21-479-Facebook.jpg,360,728,0,0,0,0,0,0,0,0,0,0,0.0,,0.0,0.0
1,1645329082000-2022-02-20-11-51-22-479-Facebook.jpg,360,728,0,0,0,0,0,0,0,0,0,0,0.0,,0.0,0.0
1,1645329083000-2022-02-20-11-51-23-479-Facebook.jpg,360,728,0,0,0,0,0,0,0,0,0,0,0.0,,0.0,0.0
1,1645329084000-2022-02-20-11-51-24-479-Facebook.jpg,360,728,0,0,0,0,0,0,0,0,0,0,0.0,,0.0,0.0
1,1645329085000-2022-02-20-11-51-25-479-Facebook.jpg,360,728,0,0,0,0,0,0,0,0,0,0,0.0,,0.0,0.0
1,1645329086000-2022-02-20-11-51-26-479-Facebook.jpg,360,728,0,0,0,0,0,0,0,0,0,0,0.0,,0.0,0.0
1,1645329087000-2022-02-20-11-51-27-479-Facebook.jpg,360,728,0,0,0,0,0,0,0,0,0,0,0.0,,0.0,0.0
1,1645329088000-2022-02-20-11-51-28-479-Facebook.jpg,360,728,0,0,0,0,0,0,0,0,0,0,0.0,,0.0,0.0
1,1645329089000-2022-02-20-11-51-29-479-Facebook.jpg,360,728,0,0,0,0,0,0,0,0,0,0,0.0,,0.0,0.0
1,1645329090000-2022-02-20-11-51-30-479-Facebook.jpg,360,728,0,0,0,0,0,0,0,0,0,0,0.0,,0.0,0.0
1,1645329091000-2022-02-20-11-51-31-479-Facebook.jpg,360,728,0,0,0,0,0,0,0,0,0,0,0.0,,0.0,0.0
1,1645329092000-2022-02-20-11-51-32-479-Facebook.jpg,360,728,0,0,0,0,0,0,0,0,0,0,0.0,,0.0,0.0
1,1645329093000-2022-02-20-11-51-33-479-Facebook.jpg,360,728,0,0,0,0,0,0,0,0,0,0,0.0,,0.0,0.0
1,1645329094000-2022-02-20-11-51-34-479-Facebook.jpg,360,728,0,0,0,0,0,0,0,0,0,0,0.0,,0.0,0.0
1,1645329095000-2022-02-20-11-51-35-479-Facebook.jpg,360,728,0,0,0,0,0,0,0,0,0,0,0.0,,0.0,0.0
1,1645329096000-2022-02-20-11-51-36-479-Facebook.jpg,360,728,0,0,0,0,0,0,0,0,0,0,0.0,,0.0,0.0
1,1645329097000-2022-02-20-11-51-37-479-Facebook.jpg,360,728,0,0,0,0,0,0,0,0,0,0,0.0,,0.0,0.0
1,1645329098000-2022-02-20-11-51-38-479-Facebook.jpg,360,728,0,0,0,0,0,0,0,0,0,0,0.0,,0.0,0.0
1,1645329099000-2022-02-20-11-51-39-479-Facebook.jpg,360,728,0,0,0,0,0,0,0,0,0,0,0.0,,0.0,0.0
1,1645329100000-2022-02-20-11-51-40-479-Facebook.jpg,360,728,0,0,0,0,0,0,0,0,0,0,0.0,,0.0,0.0
1,1645329101000-2022-02-20-11-51-41-479-Facebook.jpg,360,728,0,0,0,0,0,0,0,0,0,0,0.0,,0.0,0.0
1,1645329102000-2022-02-20-11-51-42-479-Facebook.jpg,360,728,0,0,0,0,0,0,0,0,0,0.9488465189933777,0.0,93,0.0,0.0
1,1645329103000-2022-02-20-11-51-43-479-Facebook.jpg,360,728,0,0,0,0,0,0,0,0,0,0,0.0,,0.0,0.0
1,1645329104000-2022-02-20-11-51-44-479-Facebook.jpg,360,728,0,2,0,0,0,0,0,0.5065116882324219,0,0,0.5065116882324219,,0.0,0.0
1,1645329105000-2022-02-20-11-51-45-479-Facebook.jpg,360,728,0,2,0,0,0,0,0,0.5065116882324219,0,0,0.5065116882324219,,0.0,0.0
